id,time,lat,lon,depth,mag,place
239,2015-04-24T10:27:12.050Z,34.621,28.3617,10,4,143km SE of Karpathos - Greece
240,2015-04-24T04:08:37.400Z,35.137,26.805,0.1,4,51km E of Palaikastron - Greece
241,2015-04-22T22:17:34.500Z,35.072,26.886,1.3,4,56km SSW of Karpathos - Greece
242,2015-04-22T20:19:55.430Z,35.1067,26.8107,10,4.2,52km ESE of Palaikastron - Greece
243,2015-04-22T15:55:38.400Z,38.1338,20.3827,29.01,4.2,8km SSW of Lixourion - Greece
244,2015-04-21T09:37:33.570Z,35.194,26.803,13.4,4.1,50km SW of Karpathos - Greece
245,2015-04-21T01:57:40.300Z,35.23,26.76,9,4,46km E of Palaikastron - Greece
246,2015-04-20T07:43:03.180Z,35.19,26.754,27.3,4.3,45km E of Palaikastron - Greece
247,2015-04-19T23:36:47.350Z,34.9857,26.9047,10,4,64km SSW of Karpathos - Greece
248,2015-04-19T23:28:29.710Z,35.0163,26.9601,9.39,4,59km SSW of Karpathos - Greece
249,2015-04-19T14:20:01.810Z,35.0135,26.7943,10,4,53km ESE of Palaikastron - Greece
250,2015-04-19T02:48:45.520Z,35.0621,26.7664,11.18,4,49km ESE of Palaikastron - Greece
251,2015-04-18T16:46:50.350Z,36.4768,23.1447,18.6,4.7,25km SSE of Gefyra - Greece
252,2015-04-18T13:36:49.410Z,37.8536,21.3661,28,4.3,1km WNW of Sinoikismos Khavarion - Greece
253,2015-04-18T03:59:31.120Z,35.0326,26.8921,5.15,4.1,60km SSW of Karpathos - Greece
254,2015-04-17T22:16:22.170Z,50.2457,18.8923,5,4.3,2km ESE of Ruda Slaska - Poland
255,2015-04-17T19:20:57.410Z,34.7574,24.7516,22.93,4,34km SSW of Moirai - Greece
256,2015-04-17T16:39:43.430Z,35.1046,26.7181,10,4.4,43km ESE of Palaikastron - Greece
257,2015-04-17T11:30:37.040Z,35.051,26.84,13.2,4.1,56km ESE of Palaikastron - Greece
258,2015-04-17T10:23:46.730Z,35.197,26.671,15.3,4.2,38km E of Palaikastron - Greece
259,2015-04-17T02:05:40.330Z,35.0337,26.7848,15.38,5.3,52km ESE of Palaikastron - Greece
260,2015-04-17T01:50:43.520Z,34.9915,26.8248,12.9,4.1,57km ESE of Palaikastron - Greece
261,2015-04-16T20:15:50.160Z,35.1294,26.7775,28.71,4.4,48km E of Palaikastron - Greece
262,2015-04-16T19:02:12.040Z,35.0647,26.8768,10,5,57km SSW of Karpathos - Greece
263,2015-04-16T18:52:35.100Z,35.1105,26.794,10,4.8,50km E of Palaikastron - Greece
264,2015-04-16T18:50:18.270Z,34.8857,26.7637,10,4.2,58km SE of Palaikastron - Greece
265,2015-04-16T18:21:14.280Z,35.2313,26.7829,31.57,4,48km E of Palaikastron - Greece
266,2015-04-16T18:07:43.610Z,35.1891,26.8235,20,6,49km SW of Karpathos - Greece
267,2015-04-15T16:57:03.310Z,38.9673,15.3841,253.38,4.5,54km NW of Tropea - Italy
268,2015-04-15T08:33:47.850Z,34.834,32.4725,10,4.3,2km NE of Mesoyi - Cyprus
269,2015-04-15T08:25:11.630Z,34.8078,32.3311,10,5.3,6km WSW of Kissonerga - Cyprus
270,2015-04-14T08:00:02.700Z,34.43,26.67,9,4.8,93km SSE of Palaikastron - Greece
